date,winner,win_score,loser,lose_score,extra_time
2016-10-12,St. Louis Blues,5,Chicago Blackhawks,2,n/a
2016-10-12,Edmonton Oilers,7,Calgary Flames,4,n/a
2016-10-12,Ottawa Senators,5,Toronto Maple Leafs,4,OT
2016-10-12,San Jose Sharks,2,Los Angeles Kings,1,n/a
2016-10-13,Montreal Canadiens,4,Buffalo Sabres,1,n/a
2016-10-13,Boston Bruins,6,Columbus Blue Jackets,3,n/a
2016-10-13,Dallas Stars,4,Anaheim Ducks,2,n/a
2016-10-13,Florida Panthers,2,New Jersey Devils,1,OT
2016-10-13,New York Rangers,5,New York Islanders,3,n/a
2016-10-13,Pittsburgh Penguins,3,Washington Capitals,2,SO
2016-10-13,St. Louis Blues,3,Minnesota Wild,2,n/a
2016-10-13,Tampa Bay Lightning,6,Detroit Red Wings,4,n/a
2016-10-13,Winnipeg Jets,5,Carolina Hurricanes,4,OT
2016-10-14,Edmonton Oilers,5,Calgary Flames,3,n/a
2016-10-14,Philadelphia Flyers,4,Los Angeles Kings,2,n/a
2016-10-14,Nashville Predators,3,Chicago Blackhawks,2,n/a
2016-10-15,Arizona Coyotes,4,Philadelphia Flyers,3,OT
2016-10-15,San Jose Sharks,3,Columbus Blue Jackets,2,n/a
2016-10-15,Chicago Blackhawks,5,Nashville Predators,3,n/a
2016-10-15,Colorado Avalanche,6,Dallas Stars,5,n/a
2016-10-15,Florida Panthers,4,Detroit Red Wings,1,n/a
2016-10-15,Minnesota Wild,4,Winnipeg Jets,3,n/a
2016-10-15,Ottawa Senators,4,Montreal Canadiens,3,SO
2016-10-15,Pittsburgh Penguins,3,Anaheim Ducks,2,n/a
2016-10-15,St. Louis Blues,3,New York Rangers,2,n/a
2016-10-15,Tampa Bay Lightning,3,New Jersey Devils,2,n/a
2016-10-15,Toronto Maple Leafs,4,Boston Bruins,1,n/a
2016-10-15,Vancouver Canucks,2,Calgary Flames,1,SO
2016-10-15,Washington Capitals,2,New York Islanders,1,n/a
2016-10-16,Buffalo Sabres,6,Edmonton Oilers,2,n/a
2016-10-16,New York Islanders,3,Anaheim Ducks,2,OT
2016-10-16,Vancouver Canucks,4,Carolina Hurricanes,3,OT
2016-10-17,Detroit Red Wings,5,Ottawa Senators,1,n/a
2016-10-17,New York Rangers,7,San Jose Sharks,4,n/a
2016-10-17,Colorado Avalanche,4,Pittsburgh Penguins,3,OT
2016-10-17,Boston Bruins,4,Winnipeg Jets,1,n/a
2016-10-18,Calgary Flames,4,Buffalo Sabres,3,OT
2016-10-18,Chicago Blackhawks,7,Philadelphia Flyers,4,n/a
2016-10-18,Edmonton Oilers,3,Carolina Hurricanes,2,n/a
2016-10-18,Minnesota Wild,6,Los Angeles Kings,3,n/a
2016-10-18,Montreal Canadiens,4,Pittsburgh Penguins,0,n/a
2016-10-18,New Jersey Devils,2,Anaheim Ducks,1,n/a
2016-10-18,Dallas Stars,2,Nashville Predators,1,n/a
2016-10-18,San Jose Sharks,3,New York Islanders,2,n/a
2016-10-18,Ottawa Senators,7,Arizona Coyotes,4,n/a
2016-10-18,Tampa Bay Lightning,4,Florida Panthers,3,SO
2016-10-18,Vancouver Canucks,2,St. Louis Blues,1,OT
2016-10-18,Washington Capitals,3,Colorado Avalanche,0,n/a
2016-10-19,Detroit Red Wings,2,New York Rangers,1,n/a
2016-10-19,Winnipeg Jets,5,Toronto Maple Leafs,4,OT
2016-10-20,Boston Bruins,2,New Jersey Devils,1,n/a
2016-10-20,Carolina Hurricanes,4,Calgary Flames,2,n/a
2016-10-20,Los Angeles Kings,4,Dallas Stars,3,OT
2016-10-20,Edmonton Oilers,3,St. Louis Blues,1,n/a
2016-10-20,Washington Capitals,4,Florida Panthers,2,n/a
2016-10-20,Minnesota Wild,3,Toronto Maple Leafs,2,n/a
2016-10-20,Montreal Canadiens,5,Arizona Coyotes,2,n/a
2016-10-20,Anaheim Ducks,3,Philadelphia Flyers,2,n/a
2016-10-20,Pittsburgh Penguins,3,San Jose Sharks,2,n/a
2016-10-20,Colorado Avalanche,4,Tampa Bay Lightning,0,n/a
2016-10-20,Vancouver Canucks,2,Buffalo Sabres,1,n/a
2016-10-21,Columbus Blue Jackets,3,Chicago Blackhawks,2,n/a
2016-10-21,Detroit Red Wings,5,Nashville Predators,3,n/a
2016-10-21,New York Islanders,3,Arizona Coyotes,2,n/a
2016-10-22,Montreal Canadiens,4,Boston Bruins,2,n/a
2016-10-22,St. Louis Blues,6,Calgary Flames,4,n/a
2016-10-22,Chicago Blackhawks,5,Toronto Maple Leafs,4,SO
2016-10-22,Columbus Blue Jackets,3,Dallas Stars,0,n/a
2016-10-22,Detroit Red Wings,3,San Jose Sharks,0,n/a
2016-10-22,Florida Panthers,5,Colorado Avalanche,2,n/a
2016-10-22,Los Angeles Kings,4,Vancouver Canucks,3,SO
2016-10-22,New Jersey Devils,2,Minnesota Wild,1,OT
2016-10-22,Nashville Predators,5,Pittsburgh Penguins,1,n/a
2016-10-22,Tampa Bay Lightning,4,Ottawa Senators,1,n/a
2016-10-22,Philadelphia Flyers,6,Carolina Hurricanes,3,n/a
2016-10-22,New York Rangers,4,Washington Capitals,2,n/a
2016-10-23,Anaheim Ducks,4,Vancouver Canucks,2,n/a
2016-10-23,New York Islanders,6,Minnesota Wild,3,n/a
2016-10-23,New York Rangers,3,Arizona Coyotes,2,n/a
2016-10-23,Edmonton Oilers,3,Winnipeg Jets,0,n/a
2016-10-24,Calgary Flames,3,Chicago Blackhawks,2,SO
2016-10-24,Montreal Canadiens,3,Philadelphia Flyers,1,n/a
2016-10-25,Minnesota Wild,5,Boston Bruins,0,n/a
2016-10-25,Dallas Stars,3,Winnipeg Jets,2,n/a
2016-10-25,Detroit Red Wings,4,Carolina Hurricanes,2,n/a
2016-10-25,Los Angeles Kings,3,Columbus Blue Jackets,2,OT
2016-10-25,New Jersey Devils,5,Arizona Coyotes,3,n/a
2016-10-25,Philadelphia Flyers,4,Buffalo Sabres,3,SO
2016-10-25,Pittsburgh Penguins,3,Florida Panthers,2,n/a
2016-10-25,San Jose Sharks,2,Anaheim Ducks,1,OT
2016-10-25,Calgary Flames,4,St. Louis Blues,1,n/a
2016-10-25,Tampa Bay Lightning,7,Toronto Maple Leafs,3,n/a
2016-10-25,Ottawa Senators,3,Vancouver Canucks,0,n/a
2016-10-26,Anaheim Ducks,6,Nashville Predators,1,n/a
2016-10-26,Edmonton Oilers,4,Washington Capitals,1,n/a
2016-10-26,Montreal Canadiens,3,New York Islanders,2,n/a
2016-10-26,New York Rangers,5,Boston Bruins,2,n/a
2016-10-27,Minnesota Wild,4,Buffalo Sabres,0,n/a
2016-10-27,Los Angeles Kings,3,Nashville Predators,2,OT
2016-10-27,Montreal Canadiens,3,Tampa Bay Lightning,1,n/a
2016-10-27,Arizona Coyotes,5,Philadelphia Flyers,4,n/a
2016-10-27,Pittsburgh Penguins,4,New York Islanders,2,n/a
2016-10-27,San Jose Sharks,3,Columbus Blue Jackets,1,n/a
2016-10-27,Detroit Red Wings,2,St. Louis Blues,1,SO
2016-10-27,Toronto Maple Leafs,3,Florida Panthers,2,n/a
2016-10-27,Winnipeg Jets,4,Dallas Stars,1,n/a
2016-10-28,Columbus Blue Jackets,4,Anaheim Ducks,0,n/a
2016-10-28,Carolina Hurricanes,3,New York Rangers,2,n/a
2016-10-28,Calgary Flames,5,Ottawa Senators,2,n/a
2016-10-28,Winnipeg Jets,1,Colorado Avalanche,0,n/a
2016-10-28,Chicago Blackhawks,3,New Jersey Devils,2,OT
2016-10-28,Edmonton Oilers,2,Vancouver Canucks,0,n/a
2016-10-29,Colorado Avalanche,3,Arizona Coyotes,2,n/a
2016-10-29,Buffalo Sabres,3,Florida Panthers,0,n/a
2016-10-29,Boston Bruins,1,Detroit Red Wings,0,n/a
2016-10-29,Minnesota Wild,4,Dallas Stars,0,n/a
2016-10-29,Montreal Canadiens,2,Toronto Maple Leafs,1,n/a
2016-10-29,New Jersey Devils,3,Tampa Bay Lightning,1,n/a
2016-10-29,Pittsburgh Penguins,5,Philadelphia Flyers,4,n/a
2016-10-29,San Jose Sharks,4,Nashville Predators,1,n/a
2016-10-29,St. Louis Blues,1,Los Angeles Kings,0,n/a
2016-10-29,Washington Capitals,5,Vancouver Canucks,2,n/a
2016-10-30,Philadelphia Flyers,4,Carolina Hurricanes,3,n/a
2016-10-30,Washington Capitals,3,Calgary Flames,1,n/a
2016-10-30,Chicago Blackhawks,3,Los Angeles Kings,0,n/a
2016-10-30,Florida Panthers,5,Detroit Red Wings,2,n/a
2016-10-30,Ottawa Senators,2,Edmonton Oilers,0,n/a
2016-10-30,New York Islanders,5,Toronto Maple Leafs,1,n/a
2016-10-30,New York Rangers,6,Tampa Bay Lightning,1,n/a
2016-10-30,Buffalo Sabres,3,Winnipeg Jets,1,n/a
2016-11-01,Arizona Coyotes,3,San Jose Sharks,2,n/a
2016-11-01,Columbus Blue Jackets,3,Dallas Stars,2,OT
2016-11-01,Chicago Blackhawks,5,Calgary Flames,1,n/a
2016-11-01,Nashville Predators,5,Colorado Avalanche,1,n/a
2016-11-01,Boston Bruins,2,Florida Panthers,1,n/a
2016-11-01,Anaheim Ducks,4,Los Angeles Kings,0,n/a
2016-11-01,Buffalo Sabres,2,Minnesota Wild,1,n/a
2016-11-01,Tampa Bay Lightning,6,New York Islanders,1,n/a
2016-11-01,New York Rangers,5,St. Louis Blues,0,n/a
2016-11-01,Ottawa Senators,2,Carolina Hurricanes,1,OT
2016-11-01,Toronto Maple Leafs,3,Edmonton Oilers,2,OT
2016-11-01,Washington Capitals,3,Winnipeg Jets,2,n/a
2016-11-02,Pittsburgh Penguins,5,Anaheim Ducks,1,n/a
2016-11-02,Montreal Canadiens,3,Vancouver Canucks,0,n/a
2016-11-02,Philadelphia Flyers,4,Detroit Red Wings,3,OT
2016-11-03,Arizona Coyotes,3,Nashville Predators,2,SO
2016-11-03,Toronto Maple Leafs,2,Buffalo Sabres,1,n/a
2016-11-03,Chicago Blackhawks,4,Colorado Avalanche,0,n/a
2016-11-03,Dallas Stars,6,St. Louis Blues,2,n/a
2016-11-03,Florida Panthers,4,New Jersey Devils,3,OT
2016-11-03,Los Angeles Kings,3,Pittsburgh Penguins,2,OT
2016-11-03,Philadelphia Flyers,3,New York Islanders,2,SO
2016-11-03,New York Rangers,5,Edmonton Oilers,3,n/a
2016-11-03,Ottawa Senators,1,Vancouver Canucks,0,n/a
2016-11-03,Calgary Flames,3,San Jose Sharks,2,n/a
2016-11-03,Boston Bruins,4,Tampa Bay Lightning,3,SO
2016-11-03,Washington Capitals,4,Winnipeg Jets,3,OT
2016-11-04,Anaheim Ducks,5,Arizona Coyotes,1,n/a
2016-11-04,Columbus Blue Jackets,10,Montreal Canadiens,0,n/a
2016-11-04,Winnipeg Jets,5,Detroit Red Wings,3,n/a
2016-11-05,New York Rangers,5,Boston Bruins,2,n/a
2016-11-05,Colorado Avalanche,1,Minnesota Wild,0,n/a
2016-11-05,Chicago Blackhawks,3,Dallas Stars,2,n/a
2016-11-05,Los Angeles Kings,5,Calgary Flames,0,n/a
2016-11-05,Montreal Canadiens,5,Philadelphia Flyers,4,n/a
2016-11-05,Carolina Hurricanes,3,Nashville Predators,2,SO
2016-11-05,Edmonton Oilers,4,New York Islanders,3,SO
2016-11-05,Buffalo Sabres,2,Ottawa Senators,1,n/a
2016-11-05,Pittsburgh Penguins,5,San Jose Sharks,0,n/a
2016-11-05,St. Louis Blues,2,Columbus Blue Jackets,1,OT
2016-11-05,Tampa Bay Lightning,4,New Jersey Devils,1,n/a
2016-11-05,Toronto Maple Leafs,6,Vancouver Canucks,3,n/a
2016-11-05,Washington Capitals,4,Florida Panthers,2,n/a
2016-11-06,Anaheim Ducks,4,Calgary Flames,1,n/a
2016-11-06,New Jersey Devils,4,Carolina Hurricanes,1,n/a
2016-11-06,Chicago Blackhawks,4,Dallas Stars,3,OT
2016-11-06,Edmonton Oilers,2,Detroit Red Wings,1,n/a
2016-11-06,New York Rangers,5,Winnipeg Jets,2,n/a
2016-11-06,St. Louis Blues,5,Colorado Avalanche,1,n/a
2016-11-07,Boston Bruins,4,Buffalo Sabres,0,n/a
2016-11-07,Florida Panthers,3,Tampa Bay Lightning,1,n/a
2016-11-07,New York Islanders,4,Vancouver Canucks,2,n/a
2016-11-08,Arizona Coyotes,4,Colorado Avalanche,2,n/a
2016-11-08,Montreal Canadiens,3,Boston Bruins,2,n/a
2016-11-08,New Jersey Devils,3,Carolina Hurricanes,2,SO
2016-11-08,Nashville Predators,3,Ottawa Senators,1,n/a
2016-11-08,Vancouver Canucks,5,New York Rangers,3,n/a
2016-11-08,Detroit Red Wings,3,Philadelphia Flyers,2,SO
2016-11-08,Pittsburgh Penguins,4,Edmonton Oilers,3,n/a
2016-11-08,Los Angeles Kings,7,Toronto Maple Leafs,0,n/a
2016-11-08,Winnipeg Jets,8,Dallas Stars,2,n/a
2016-11-08,San Jose Sharks,3,Washington Capitals,0,n/a
2016-11-09,Ottawa Senators,2,Buffalo Sabres,1,SO
2016-11-09,Columbus Blue Jackets,3,Anaheim Ducks,2,OT
2016-11-09,Chicago Blackhawks,2,St. Louis Blues,1,OT
2016-11-10,Winnipeg Jets,3,Arizona Coyotes,2,n/a
2016-11-10,Boston Bruins,5,Columbus Blue Jackets,2,n/a
2016-11-10,Anaheim Ducks,4,Carolina Hurricanes,2,n/a
2016-11-10,Dallas Stars,4,Calgary Flames,2,n/a
2016-11-10,Detroit Red Wings,3,Vancouver Canucks,1,n/a
2016-11-10,San Jose Sharks,4,Florida Panthers,2,n/a
2016-11-10,Montreal Canadiens,4,Los Angeles Kings,1,n/a
2016-11-10,Nashville Predators,3,St. Louis Blues,1,n/a
2016-11-10,Minnesota Wild,4,Pittsburgh Penguins,2,n/a
2016-11-10,Tampa Bay Lightning,4,New York Islanders,1,n/a
2016-11-11,New Jersey Devils,2,Buffalo Sabres,1,OT
2016-11-11,Washington Capitals,3,Chicago Blackhawks,2,OT
2016-11-11,Colorado Avalanche,3,Winnipeg Jets,2,OT
2016-11-11,Dallas Stars,3,Edmonton Oilers,2,n/a
2016-11-11,Ottawa Senators,2,Los Angeles Kings,1,n/a
2016-11-11,Toronto Maple Leafs,6,Philadelphia Flyers,3,n/a
2016-11-12,Boston Bruins,2,Arizona Coyotes,1,n/a
2016-11-12,Carolina Hurricanes,5,Washington Capitals,1,n/a
2016-11-12,Columbus Blue Jackets,8,St. Louis Blues,4,n/a
2016-11-12,New York Rangers,4,Calgary Flames,1,n/a
2016-11-12,Florida Panthers,3,New York Islanders,2,OT
2016-11-12,Montreal Canadiens,5,Detroit Red Wings,0,n/a
2016-11-12,New Jersey Devils,4,Buffalo Sabres,2,n/a
2016-11-12,Nashville Predators,5,Anaheim Ducks,0,n/a
2016-11-12,Philadelphia Flyers,3,Minnesota Wild,2,n/a
2016-11-12,Pittsburgh Penguins,4,Toronto Maple Leafs,1,n/a
2016-11-12,San Jose Sharks,3,Tampa Bay Lightning,1,n/a
2016-11-13,Chicago Blackhawks,3,Montreal Canadiens,2,n/a
2016-11-13,Boston Bruins,2,Colorado Avalanche,0,n/a
2016-11-13,New York Rangers,3,Edmonton Oilers,1,n/a
2016-11-13,Minnesota Wild,2,Ottawa Senators,1,OT
2016-11-13,Vancouver Canucks,5,Dallas Stars,4,OT
2016-11-13,Winnipeg Jets,3,Los Angeles Kings,2,SO
2016-11-14,Tampa Bay Lightning,4,New York Islanders,0,n/a
2016-11-15,Anaheim Ducks,4,Edmonton Oilers,1,n/a
2016-11-15,Carolina Hurricanes,1,San Jose Sharks,0,n/a
2016-11-15,Columbus Blue Jackets,2,Washington Capitals,1,OT
2016-11-15,Colorado Avalanche,4,Los Angeles Kings,1,n/a
2016-11-15,New Jersey Devils,2,Dallas Stars,1,OT
2016-11-15,Tampa Bay Lightning,4,Detroit Red Wings,3,n/a
2016-11-15,Calgary Flames,1,Minnesota Wild,0,n/a
2016-11-15,Florida Panthers,4,Montreal Canadiens,3,OT
2016-11-15,Ottawa Senators,3,Philadelphia Flyers,2,SO
2016-11-15,St. Louis Blues,4,Buffalo Sabres,1,n/a
2016-11-15,Toronto Maple Leafs,6,Nashville Predators,2,n/a
2016-11-15,New York Rangers,7,Vancouver Canucks,2,n/a
2016-11-15,Winnipeg Jets,4,Chicago Blackhawks,0,n/a
2016-11-16,Calgary Flames,2,Arizona Coyotes,1,OT
2016-11-16,Washington Capitals,7,Pittsburgh Penguins,1,n/a
2016-11-17,Anaheim Ducks,3,New Jersey Devils,2,n/a
2016-11-17,Tampa Bay Lightning,4,Buffalo Sabres,1,n/a
2016-11-17,Dallas Stars,3,Colorado Avalanche,2,n/a
2016-11-17,Los Angeles Kings,4,Edmonton Oilers,2,n/a
2016-11-17,Minnesota Wild,1,Boston Bruins,0,n/a
2016-11-17,Nashville Predators,5,Ottawa Senators,1,n/a
2016-11-17,Philadelphia Flyers,5,Winnipeg Jets,2,n/a
2016-11-17,St. Louis Blues,3,San Jose Sharks,2,n/a
2016-11-17,Toronto Maple Leafs,6,Florida Panthers,1,n/a
2016-11-17,Vancouver Canucks,3,Arizona Coyotes,2,OT
2016-11-18,Carolina Hurricanes,3,Montreal Canadiens,2,n/a
2016-11-18,Columbus Blue Jackets,4,New York Rangers,2,n/a
2016-11-18,Chicago Blackhawks,3,Calgary Flames,2,n/a
2016-11-18,Pittsburgh Penguins,3,New York Islanders,2,OT
2016-11-18,Washington Capitals,1,Detroit Red Wings,0,n/a
2016-11-19,Arizona Coyotes,3,San Jose Sharks,2,OT
2016-11-19,Boston Bruins,4,Winnipeg Jets,1,n/a
2016-11-19,Buffalo Sabres,2,Pittsburgh Penguins,1,SO
2016-11-19,Edmonton Oilers,5,Dallas Stars,2,n/a
2016-11-19,Los Angeles Kings,4,New Jersey Devils,2,n/a
2016-11-19,Colorado Avalanche,3,Minnesota Wild,2,n/a
2016-11-19,Montreal Canadiens,2,Toronto Maple Leafs,1,n/a
2016-11-19,Florida Panthers,4,Ottawa Senators,1,n/a
2016-11-19,Tampa Bay Lightning,3,Philadelphia Flyers,0,n/a
2016-11-19,St. Louis Blues,3,Nashville Predators,1,n/a
2016-11-19,Chicago Blackhawks,4,Vancouver Canucks,3,OT
2016-11-20,Los Angeles Kings,3,Anaheim Ducks,2,n/a
2016-11-20,Carolina Hurricanes,3,Winnipeg Jets,1,n/a
2016-11-20,Calgary Flames,3,Detroit Red Wings,2,n/a
2016-11-20,Florida Panthers,3,New York Rangers,2,SO
2016-11-20,Columbus Blue Jackets,3,Washington Capitals,2,n/a
2016-11-21,Buffalo Sabres,4,Calgary Flames,2,n/a
2016-11-21,Colorado Avalanche,3,Columbus Blue Jackets,2,OT
2016-11-21,Dallas Stars,3,Minnesota Wild,2,OT
2016-11-21,Edmonton Oilers,5,Chicago Blackhawks,0,n/a
2016-11-21,Nashville Predators,3,Tampa Bay Lightning,1,n/a
2016-11-21,New York Rangers,5,Pittsburgh Penguins,2,n/a
2016-11-21,San Jose Sharks,4,New Jersey Devils,0,n/a
2016-11-22,New York Islanders,3,Anaheim Ducks,2,SO
2016-11-22,St. Louis Blues,4,Boston Bruins,2,n/a
2016-11-22,Philadelphia Flyers,3,Florida Panthers,1,n/a
2016-11-22,Ottawa Senators,4,Montreal Canadiens,3,n/a
2016-11-22,Carolina Hurricanes,2,Toronto Maple Leafs,1,n/a
2016-11-23,Vancouver Canucks,4,Arizona Coyotes,1,n/a
2016-11-23,Detroit Red Wings,2,Buffalo Sabres,1,SO
2016-11-23,Calgary Flames,2,Columbus Blue Jackets,0,n/a
2016-11-23,Edmonton Oilers,6,Colorado Avalanche,3,n/a
2016-11-23,Los Angeles Kings,4,New York Islanders,2,n/a
2016-11-23,Minnesota Wild,3,Winnipeg Jets,1,n/a
2016-11-23,New Jersey Devils,5,Toronto Maple Leafs,4,SO
2016-11-23,Nashville Predators,5,Dallas Stars,2,n/a
2016-11-23,Pittsburgh Penguins,6,New York Rangers,1,n/a
2016-11-23,San Jose Sharks,2,Chicago Blackhawks,1,n/a
2016-11-23,Tampa Bay Lightning,4,Philadelphia Flyers,2,n/a
2016-11-23,Washington Capitals,4,St. Louis Blues,3,n/a
2016-11-24,Montreal Canadiens,2,Carolina Hurricanes,1,n/a
2016-11-24,Ottawa Senators,3,Boston Bruins,1,n/a
2016-11-25,Chicago Blackhawks,3,Anaheim Ducks,2,n/a
2016-11-25,Arizona Coyotes,3,Edmonton Oilers,2,SO
2016-11-25,Calgary Flames,2,Boston Bruins,1,n/a
2016-11-25,Dallas Stars,2,Vancouver Canucks,1,n/a
2016-11-25,Minnesota Wild,6,Pittsburgh Penguins,2,n/a
2016-11-25,Detroit Red Wings,5,New Jersey Devils,4,OT
2016-11-25,Nashville Predators,5,Winnipeg Jets,1,n/a
2016-11-25,New York Rangers,3,Philadelphia Flyers,2,n/a
2016-11-25,San Jose Sharks,3,New York Islanders,2,n/a
2016-11-25,Columbus Blue Jackets,5,Tampa Bay Lightning,3,n/a
2016-11-25,Washington Capitals,3,Buffalo Sabres,1,n/a
2016-11-26,Vancouver Canucks,3,Colorado Avalanche,2,SO
2016-11-26,Montreal Canadiens,2,Detroit Red Wings,1,OT
2016-11-26,Florida Panthers,2,Columbus Blue Jackets,1,SO
2016-11-26,Los Angeles Kings,2,Chicago Blackhawks,1,OT
2016-11-26,Ottawa Senators,2,Carolina Hurricanes,1,n/a
2016-11-26,Pittsburgh Penguins,4,New Jersey Devils,3,SO
2016-11-26,Anaheim Ducks,3,San Jose Sharks,2,n/a
2016-11-26,St. Louis Blues,4,Minnesota Wild,3,SO
2016-11-26,Toronto Maple Leafs,4,Washington Capitals,2,n/a
2016-11-27,Boston Bruins,4,Tampa Bay Lightning,1,n/a
2016-11-27,Carolina Hurricanes,3,Florida Panthers,2,n/a
2016-11-27,Arizona Coyotes,2,Edmonton Oilers,1,n/a
2016-11-27,Ottawa Senators,2,New York Rangers,0,n/a
2016-11-27,Philadelphia Flyers,5,Calgary Flames,3,n/a
2016-11-27,Winnipeg Jets,3,Nashville Predators,0,n/a
2016-11-28,New York Islanders,2,Calgary Flames,1,OT
2016-11-28,St. Louis Blues,4,Dallas Stars,3,OT
2016-11-29,Anaheim Ducks,2,Montreal Canadiens,1,n/a
2016-11-29,Columbus Blue Jackets,5,Tampa Bay Lightning,1,n/a
2016-11-29,Chicago Blackhawks,2,Florida Panthers,1,SO
2016-11-29,Nashville Predators,5,Colorado Avalanche,3,n/a
2016-11-29,Detroit Red Wings,3,Dallas Stars,1,n/a
2016-11-29,Toronto Maple Leafs,4,Edmonton Oilers,2,n/a
2016-11-29,New York Rangers,3,Carolina Hurricanes,2,n/a
2016-11-29,Buffalo Sabres,5,Ottawa Senators,4,n/a
2016-11-29,Philadelphia Flyers,3,Boston Bruins,2,SO
2016-11-29,San Jose Sharks,2,Arizona Coyotes,1,OT
2016-11-29,Vancouver Canucks,5,Minnesota Wild,4,n/a
2016-11-29,Winnipeg Jets,3,New Jersey Devils,2,n/a
2016-11-30,Calgary Flames,3,Toronto Maple Leafs,0,n/a
2016-11-30,San Jose Sharks,4,Los Angeles Kings,1,n/a
2016-11-30,New York Islanders,5,Pittsburgh Penguins,3,n/a
2016-12-01,Los Angeles Kings,4,Arizona Coyotes,3,n/a
2016-12-01,Boston Bruins,2,Carolina Hurricanes,1,SO
2016-12-01,Buffalo Sabres,4,New York Rangers,3,n/a
2016-12-01,Chicago Blackhawks,4,New Jersey Devils,3,OT
2016-12-01,Columbus Blue Jackets,3,Colorado Avalanche,2,n/a
2016-12-01,Florida Panthers,2,Detroit Red Wings,1,OT
2016-12-01,Philadelphia Flyers,3,Ottawa Senators,2,OT
2016-12-01,Pittsburgh Penguins,6,Dallas Stars,2,n/a
2016-12-01,St. Louis Blues,5,Tampa Bay Lightning,4,n/a
2016-12-01,Anaheim Ducks,3,Vancouver Canucks,1,n/a
2016-12-01,Edmonton Oilers,6,Winnipeg Jets,3,n/a
2016-12-01,New York Islanders,3,Washington Capitals,0,n/a
2016-12-02,Calgary Flames,3,Minnesota Wild,2,SO
2016-12-02,San Jose Sharks,2,Montreal Canadiens,1,n/a
2016-12-03,Columbus Blue Jackets,3,Arizona Coyotes,2,SO
2016-12-03,Boston Bruins,2,Buffalo Sabres,1,n/a
2016-12-03,Dallas Stars,3,Colorado Avalanche,0,n/a
